"name","introduction","altname","pathogenic_site","department","population","symptom","inspect","complication","treatment","medication"
"跟腱炎","跟腱炎 (Achilles tendonitis) 是指跟腱发生了炎症。一般来说，它是因为在运动过程中，小腿腓肠肌和跟腱承受了太大的压力导致的，例如打篮球。另外，突然增加锻炼的强度或频率也常会引起跟腱炎。","None","足部","外伤科,骨科","剧烈运动或运动员多发的病","跟腱疼痛",,"None",,"吲哚美辛巴布膏,保妇康栓,小儿肺热咳喘颗粒4克,详细"
"铜绿假单胞菌感染","假单胞菌属在自然界分布广泛，对人和动物有致病性的菌种有十余种，以铜绿假单胞菌(绿脓杆菌)在医学中最为重要。本属细菌侵袭性弱，一般认为属条件致病菌。当机体免疫功能受损或缺损时，可引起严重的甚至致死性的感染;手术后或某些治疗操作后(气管切开、保留导尿管等)的患者也易罹患本菌感染，故亦为医院内感染的重要病原菌之一。铜绿假单胞菌可感染人体的血液、呼吸、中枢神经、泌尿等各个系统组织，引起一系列病变。","绿脓杆菌感染","全身","传染科,呼吸内科,血液科","在婴儿的脐周、烧伤的表面，...","发烧,脓肿,发烧,弛张热,稽留热","WBC,直接涂片检查,肺和胸膜听诊,血液及骨髓细菌培养,颅脑CT","ARDS,弥散性血管内凝血","药物治疗","氟罗沙星胶囊,盐酸米诺环素胶囊,磺胺嘧啶银乳膏,详细"
"头皮血肿","头皮血肿多因钝器伤及头皮所致。","None","颅脑","脑外科,外伤科","所有人群","头痛,皮肤出血点,剧烈疼痛,皮下血肿,外伤性出血","颅脑CT","颅骨骨折,帽状腱膜下脓肿,休克","药物治疗、手术治疗","舒筋活血片,活血止痛散,云南白药,详细"
"败血症","由致病菌侵入血液循环并在其中生长繁殖，产生毒素而引起的全身性感染，易在人体抵抗力降低的情况下发生。临床上主要表现为寒战、高热、毒血症症状、皮疹、关节痛、肝脾大、感染性休克、迁徙性病灶等。分革兰阳性球菌败血症、革兰阴性杆菌败血症和脓毒败血症。绝大多数呈急性病程，病情重，预后差。如今更进一步认为败血症是致病菌及其毒素和代谢产物进入血流后激活并释放炎症介子而引起的一系列连锁反应过程。这一过程，在临床上可导致全身多脏器的功能紊乱和衰竭。即不仅看到了致病菌在机体内的存在状态，也重视了机体的免疫应答反应及结果。现已知炎症介子有补体成分、花生四烯酸代谢产物、肿瘤因子(TNF)、白细胞介素(IL-s)、干扰素(IF-a)、血小板活化因子(PAF)、巨噬细胞前炎症细胞因子(MPIC)、蛋白酶、凝血恶烷和氧自由基等。以抗生素治疗为主，辅以其他治疗方法。预防措施为避免皮肤粘膜受损，防止细菌感染。","败血病,菌血症","血液血管","呼吸内科,心血管内科,消化内科","营养不良,贫血，糖尿病及肝...","头痛,昏迷,寒战,高热,意识模糊","白细胞分类计数,细菌的CAMP试验,胸部平片,血液及骨髓细菌培养,骨髓细菌培养","None","药物治疗","氟氯西林钠胶囊,替硝唑片,详细"
"腰肌劳损","慢性腰肌劳损，为临床常见病，多发病，发病因素较多，主要症状是腰部酸痛，日间劳累加重，休息后可减轻，日积月累，可使肌纤维变性，甚而少量撕裂，形成疤痕或纤维索条或粘连，遗留长期慢性腰背痛。治疗上以非手术治疗为主，如各种非手术疗法无效者，可施行手术治疗。","None","腰部","外伤科,骨科","长期保持坐姿者，中老年人 ","腰酸,弯腰时腰痛,劳累时腰部酸痛或胀痛,腰酸背痛,产育过多后腰痛","拾物试验,脊柱压痛与叩击痛,腰背痛体格检查,腰背部检查","筋膜炎,椎管狭窄症","药物治疗、物理治疗、手术治疗","正骨水,腰痛宁胶囊,吲哚美辛巴布膏,详细"
"破伤风","破伤风是由破伤风梭菌侵入人体伤口后，在厌氧环境下生长繁殖，产生嗜神经外毒素而引起全身肌肉强直性痉挛为特点的急性传染病。重型患者可因喉痉挛或继发严重肺部感染而死亡。新生儿破伤风由脐带感染引起，病死率很高。虽然世界卫生组织积极推行了全球免疫计划，据估计全世界每年仍有近百万破伤风病例，数十万新生儿死于破伤风。","金疮痉,伤痉","肌肉","外伤科,传染科","所有人群","喉头痉挛,角弓反张位,痉笑面容,全身骨骼肌痉挛,四肢抽搐","膝反射,颈项强直","褥疮,代谢性酸中毒,呼吸性酸中毒,肺炎,骨折","药物治疗","琥乙红霉素片,硬脂酸红霉素颗粒,风油精,详细"
"屈光不正","屈光不正是指眼在不使用调节时，平行光线通过眼的屈光作用后，不能在视网膜上结成清晰的物像，而在视网膜前或后方成像。它包括远视、近视及散光。","近视,近视眼","眼","眼科,五官科,儿科","学生人群尤其多发","视力障碍,头痛,视力视野改变,疲劳,紧张","屈光检查,散瞳验光,眼睑检查,远视力检查法,雾视验光","睑缘炎","药物治疗、手术治疗","四味珍层冰硼滴眼液,珍珠明目滴眼液,详细"
"霰粒肿","霰粒肿（chalazion）是一种睑板腺的慢性炎症肉芽肿（lipogranuloma）。是在睑板腺排出管的管道上阻塞和脂性分泌物潴留的基础上而形成的。","睑板腺囊肿,眼胞痰核,胞睑肿核,目疣","眼","眼科,外科","所有人群","眼睑异物,眼球不能随意动,视力障碍","眼睑检查,眼科检查","皮肤黏液瘤,皮肤淋巴细胞瘤,浅表性皮肤脂肪瘤痣,继发性皮肤CD30阳性大细胞淋巴瘤,皮肤纤维瘤","药物、手术治疗","珍珠明目滴眼液,复方磺胺甲噁唑钠滴眼液,散粒肿夹,详细"
"视神经炎","视神经炎(optic neuritis，ON)是指穿出巩膜后的眶内段视神经、管内段视神经以及颅内段视神经发生的炎症。由于考虑到病变是发生于眼球后段的视神经，而且眼底没有任何改变，故将本病命名为球后视神经炎(retrobulbar neuritis)，并且根据视神经炎症发病的缓急，又分为急性球后视神经炎与慢性球后视神经炎两种。近年来国外文献已统一称之为视神经炎。","视盘炎,球后视神经炎","眼","眼科,神经内科","所有人群","早晨上下眼睑粘连,眼球压痛,视力障碍,视力障碍,继发性视神经萎缩","脑诱发电位,视神经检查,颅脑CT","硬化症,视神经萎缩","药物治疗","维生素B12注射液,维生素B12注射液,腺苷钴胺片,详细"
"翼状胬肉","翼状胬肉(pterygium)是眼科常见病和多发病，一般认为是受外界刺激而引起的局部球结膜纤维血管组织的一种慢性炎症性病变，呈三角形，可侵犯角膜，单眼或双眼受累。因其形状酷似昆虫的翅膀故名为翼状胬肉，中医称为“胬肉攀睛”。它是临床上最为常见的眼科疾病之一，也是最为古老的眼病。它不仅可以眼刺激征及外观缺陷，还可以不同程度地影响视力。多发生于室外工作者。可能与风沙、烟尘、阳光、紫外线等长期刺激有关。","胬肉攀睛","眼","眼科","户外劳动者","眼结膜上出现瘀点,结膜充血,结膜乳头增生,角膜表面三角形胬肉,视力障碍","p53蛋白","散光,翼状胬肉,颅咽管瘤,发作性睡病,眼眶肌炎","药物治疗、手术治疗","拨云退翳丸,注射用盐酸平阳霉素,拨云复光散,详细"
"老年性黄斑变性","老年性黄斑变性（senile macular degeneration）亦称年龄相关性黄斑变性（age-related macular degeneration）或衰老性黄斑变性（aging macular degeneration）。大多始发于50岁上下，年龄越大，患病率越高。发病与性别、种族无明显关系。双眼同时或先后受害。因临床表现不同，分成萎缩性与渗出性两型，前者比较多见，后者则仅为前者的1/10～15。","衰老性黄斑变性，AMD ","眼","眼科,五官科","老年人群","色素脱失,视力障碍,黄斑回避现象,视力视野改变,黄斑回避现象","检眼镜检查法,眼底检查,眼底荧光血管造影,虹膜检查法,裂隙灯","脉络膜新生血管","药物治疗、手术治疗、激光治疗","复方牛磺酸滴眼液,左旋多巴片,银杏叶提取物片,详细"
"角膜炎","角膜炎(Keratitis ) 分溃疡性角膜炎又名角膜溃疡，非溃疡性角膜炎即深层角膜炎两类。由内因，外因不同因素造成。因角膜外伤，细菌及病毒侵入角膜引起的炎症。患眼有异物感，刺痛甚至烧灼感。球结膜表面混合性充血，伴有怕光、流泪、视力障碍和分泌物增加等症状。角膜表面浸润有溃疡形成。溃疡性角膜炎又名角膜溃疡，绝大部分为外来因素所致，即感染性致病因子由外侵入角膜上皮细胞层而发生的炎症。","None","眼","眼科","所有人群","眼睛发红,眼睛刺痛,畏光流泪,眼睑痉挛,视力视野改变","Cochet和Bonnet氏角膜知觉测量计,小儿角膜检查法,泪液分泌型免疫球蛋白A,睫状血管检查法,角膜染色法","化脓性角膜炎,金黄色葡萄球菌性边缘性角膜炎,神经源性角膜炎,棘阿米巴性角膜炎,微小核糖核酸病毒性角膜炎","药物治疗","伊曲康唑胶囊,氯霉素滴眼液,小牛血去蛋白提取物眼用凝胶,详细"
"弱视","弱视(amblyopia)是眼科临床常见的儿童眼病。眼部内外没有器质性病变而矫正视力达不到正常(低于0.9)者称为弱视。弱视与斜视有密切关系，单眼偏斜可致该眼弱视，而弱视又可形成斜视。对弱视的研究除眼科的诊断、治疗及预防外，还涉及到生理学、物理学、心理学等相关学科。","None","眼","眼科","儿童","视力障碍,屈光介质混浊,色觉丧失,斗鸡眼,视物模糊","光觉检查,对比敏感度,屈光检查,眼底检查,视力","None","药物治疗、手术治疗","明目地黄丸,左旋多巴片,弱视综合治疗仪,详细"
"视网膜脱落","视网膜脱离(retinal detachment)是视网膜神经上皮层与色素上皮层之间的分离。原发性视网膜脱离为临床常见病，患者男性多于女性约为3∶2，多数为30岁以上成年人，10岁以下的儿童少见，左右眼之间差异，双眼发病率约为患者总数的15%。好发于近视眼。特别是高度近视。","原发性视网膜脱离,视网膜剥离,视网膜神经上皮层脱离","眼","眼科","成年人","视力障碍,视野缺损,视网膜脱离,眼前异常闪光，增加的黑点,视物变小","眼底接触镜,眼底镜检查法,裂隙灯","None","中医药物治疗","血栓通注射液,血栓通注射液,卵磷脂络合碘胶囊,详细"
"玻璃体混浊","玻璃体内透明的凝胶体，如果出现不透明体，就成为玻璃体混浊（vitreous opacities）。玻璃体混浊不是一种独立的疾病，常表现为某些眼病的症状之一。","None","眼","眼科","老年人、高度近视者","眼前黑影,视力障碍","彻照法检查,眼底镜检查法","None","狄奥宁眼药水、维生素C、他巴唑、安妥碘、透明质酸酶","卵磷脂络合碘片,氨碘肽滴眼液,卵磷脂络合碘胶囊,详细"
"红眼病","急性卡他性结膜炎（acute catarrhal conjunctivitis）俗称“红眼”或“火眼”，是由细菌感染引起的一种常见的急性流行性眼病。其主要特征为结膜明显充血，脓性或粘液脓性分泌物，有自愈倾向。","急性卡他性结膜炎,火眼,红眼","眼","眼科,传染科","所有人群","眼睛发红,睫状充血,泪溢,红眼,目痛","眼及眶区CT","结膜炎,卡他性结膜炎","中药治疗、西药治疗","炎可宁片,盐酸羟苄唑,盐酸金霉素眼膏,详细"
"结膜炎","结膜炎(conjunctivitis)是眼科的常见病，但是其发病率目前尚未确定。由于大部分结膜与外界直接接触，因此容易受到周围环境中感染性(如细菌、病毒、及衣原体等)和非感染性因素(外伤、化学物质及物理因素等)的刺激，而且结膜的血管和淋巴组织丰富，自身及外界的抗原容易使其致敏。俗称红眼病。","None","眼","眼科","所有人群,青少年占多数","眼睑异物,结膜乳头增生,结膜充血,流泪,红眼","氧化酶试验,泪液分泌型免疫球蛋白A,眼标本的细菌学检查,结膜的检查,角膜荧光素染色","春季卡他性结膜炎,流行性角结膜炎,包涵体性结膜炎,春季性结膜炎,Theodore上方角膜缘角结膜炎","局部治疗、全身治疗","依诺沙星滴眼液,氯霉素滴眼液,珍珠明目滴眼液,详细"
"视网膜病变","又称Rieger中心性视网膜炎、青年性出血性黄斑病变。本病为发生于黄斑部及其周围的弧立的渗出性脉络膜视网膜病灶，伴有视网膜下新生血管及出血。临床上并不少见，一般为单眼发病，年龄多在50岁以下。","黄斑病变,Rieger中心性视网膜炎,青年性出血性黄斑病变","眼","眼科","老年患者常见","夜盲,视力障碍,中心暗点扩大,光反射消失,眼底出血和渗出","眼底镜检查法","视网膜病变,糖尿病","中医药物治疗、西医药物治疗、手术治疗","羟苯磺酸钙胶囊,曲克芦丁氯化钠注射液,卵磷脂络合碘胶囊,详细"
"青光眼","青光眼是指眼内压间断或持续升高的一种眼病。持续的高眼压可以给眼球各部分组织和视功能带来损害，如不及时治疗，视野可以全部丧失而至失明。青光眼是导致人类失明的三大致盲眼病之一，总人群发病率为1%，45岁以后为2%。","绿风内障","眼","眼科","所有人群","高眼压,眼压突然迅速升高,眼胀,眼痛,视力障碍","前房的一般检查,眼压计测量法,眼球突出度,瞳孔检查,视野检查","慢性闭角型青光眼,便秘,急性闭角型青光眼,拉肚子,呕吐","西医药物治疗、西医手术治疗、中医治疗","硝酸毛果芸香碱滴眼液,拉坦前列素滴眼液,马来酸噻吗洛尔滴眼液,详细"
"白内障","凡是各种原因如老化、遗传、局部营养障碍、免疫与代谢异常、外伤、中毒、辐射等，都能引起晶状体代谢紊乱，导致晶状体蛋白质变性而发生混浊，称为白内障。此时光线被混浊晶状体阻扰无法投射在视网膜上，就不能看清物体。世界卫生组织从群体防盲、治盲角度出发，对晶状体发生变性和混浊，变为不透明，以至影响视力，而矫正视力在0.7或以下者，才归入白内障诊断范围。","老年性白内障,年龄相关性白内障","眼","眼科,老年科","儿童、老年人","视力障碍,瞳孔变白,眼球调节功能减退或消失,玻璃体经瞳孔向前房凸出,眼压升高","Farnsworth15色标试验,常规小瞳孔检查,晶状体检查,瞳孔检查,视力筛查仪","前房积血,青光眼,黄斑囊样水肿,玻璃体积血,脉络膜脱离","药物治疗、手术治疗","苄达赖氨酸滴眼液,拨云退翳丸,苄达赖氨酸滴眼液,详细"
"子宫内膜癌","起源于子宫内膜腺体的恶性肿瘤，又称子宫体癌，绝大多数为腺癌。为女性生殖器三大恶性肿瘤之一，在我国子宫内膜癌远低于子宫颈癌，但在一些西方发达国家，本病高于子宫颈癌，位于妇科恶性肿瘤的首位。高发年龄为58~61岁，约占女性癌症总数的7%，占生殖道恶性肿瘤20%~30%，近年发病率有上升趋势，与宫颈癌比较，已趋于接近甚至超过。与长期持续的雌激素刺激 ，肥胖，高血压，糖尿病，不孕或不育及绝经等体质因素及遗传因素有关。","子宫体癌,子宫癌","子宫","肿瘤科,妇科"," 围绝经期和绝经后女性 ","阴道出血,阴道分泌物增多,下腹疼痛,下腹胀痛,下腹部包块","p53基因,子宫内膜活检,子宫输卵管造影,子宫颈涂片测试,生殖系统肿瘤检查项目","子宫肌瘤,多囊卵巢综合征,功血","药物治疗、手术治疗","金鸡颗粒,金鸡片,金鸡胶囊,详细"
"阴道炎","阴道炎是女性生殖道感染最常见的疾病, 是不同疾病引起的多种阴道黏膜炎性疾病的总称，每个年龄阶段都可发病，易反复发作。常见阴道炎包括滴虫性阴道炎、 外阴阴道假丝酵母菌病、细菌性阴道病、需氧菌性阴道炎、萎缩性阴道炎、婴幼儿性阴道炎等。临床上以白带的性状发生改变以及外阴瘙痒灼痛为主要临床特点，可有性交痛、尿痛、尿急等症状。","None","阴道","妇科","育龄期女性","排尿时外阴灼热、瘙痒或疼痛,白带增多,尿急,尿痛","阴道分泌物涂片,阴道妇科常规检查,阴道触诊","None","局部用药、全身用药、男女双方同时治疗","保妇康栓,消糜栓,详细"
"多囊卵巢综合征","多囊卵巢综合征是一种卵巢增大并含有很多充满液体的小囊，雄激素水平增高、不能排卵的内分泌疾病。最显著的特征是无排卵。","硬化性囊性卵巢综合征，Rokitansky瘤","卵巢","妇科","女性，肥胖女性","月经稀少,女性不孕,肥胖,卵巢性多毛,卵巢性闭经","HCG,卵巢肿瘤标记,地塞米松抑制试验,性激素六项检查,雌激素","外阴肿瘤,卵巢肿瘤,心血管和血栓栓塞综合征","药物治疗","调经促孕丸,益母草颗粒,注射用尿促卵泡素,详细"
"麦粒肿","最靠近眼球边缘的皮肤就是“眼睑”，因为发炎反应或是病菌感染而引起睫毛及眼睑边缘处的发炎称为“眼睑炎”，是最常引起外眼部刺激的原因之一。病人在眼睑上可感受到灼热、刺激及痒感，有的病人甚至有眼睑周围溃疡、睫毛掉落的现象。","针眼,眼睑炎，睑腺炎","眼","眼科,中医科","青年人","眼屎多,眼睑脓肿,睑结膜充血露出黄色脓块,眼睛发红,眼痛",,"None","药物治疗、手术治疗","复方磺胺甲噁唑钠滴眼液,头孢克洛干混悬剂,加替沙星滴眼液,详细"
"子宫内膜异位症","正常情况下，子宫内膜覆盖于子宫体腔面，如因某种因素，使子宫内膜在身体其他部位生长，即可成为子宫内膜异位症。这种异位的内膜在组织学上不但有内膜的腺体，且有内膜间质围绕;在功能上随雌激素水平而有明显变化，即随月经周期而变化，但仅有部分受孕激素影响，能产生少量月经而引起种种临床现象。患者如受孕，异位内膜可有蜕膜样改变。这种异位内膜虽在其他组织或器官内生长，但有别于恶性肿瘤的浸润。本病发生的高峰在30～40岁。子宫内膜异位的实际发生率远较临床所见为多。如在因妇科其他病行剖腹探查时及对切除的子宫附件标本仔细作病理检查，可发现约20～25%患者有异位的子宫内膜。","子宫腺肌病,内在性子宫内膜异位症","子宫","妇科,生殖健康","30～40岁女性","女性不孕,肚子疼,尿频","子宫输卵管造影,生育镜,直肠镜,血清抗子宫内膜抗体,解脲脲原体","痛经,性交疼痛,月经量多,不孕症","手术治疗、药物治疗","妇炎净胶囊,痛经宝颗粒,复方醋酸棉酚片,详细"
"外阴炎","正常情况下，阴道分泌物呈酸性(宫颈管内粘液则呈碱性)，因而能抑制致病菌的活动、繁殖和上行，炎症一般不易出现。当阴道分泌物酸碱度发生改变，或有特殊病原体侵入时，即可引起炎症反应。","细菌性外阴炎","外阴","妇科","各年龄段女性，大多是十岁以...","排尿时外阴灼热、瘙痒或疼痛,会阴溃疡,外阴皮肤肿胀,外阴烧灼刺激感","外阴部妇科常规检查,妇科常规检查,妇科炎症检查,宫颈妇科常规检查,阴道妇科常规检查","外阴溃疡,环状外阴炎,霉菌性外阴炎,外阴炎","药物治疗","复方黄松洗液,甲硝唑氯化钠注射液,结合雌激素乳膏,详细"
"附件炎","女性内生殖器官中，输卵管、卵巢被称为子宫附件。附件炎是指输卵管和卵巢的炎症。一般指急性附件炎、慢性附件炎、输卵管炎、卵巢炎，但输卵管、卵巢炎常常合并有宫旁结缔组织炎、盆腔腹膜炎，且在诊断时也不易区分，这样，盆腔腹膜炎、宫旁结缔组织炎，就也被划入附件炎范围了。在盆腔器官炎症中，以输卵管炎最常见，由于解剖部位相互邻近的关系，往往输卵管炎、卵巢炎、盆腔腹膜炎同时并存且相互影响。","输卵管炎,卵巢炎，输卵管卵巢炎","卵巢","妇科,中医科","女性","白带增多,下腹疼痛,下腹坠胀,腰骶部酸痛","子宫与附件肿块,子宫及附件检查,子宫输卵管造影,白带常规,阴道清洁度","不孕症","西医治疗、中医治疗","金刚藤糖浆,花红颗粒,金鸡胶囊,详细"
"性交疼痛","性交疼痛是指夫妻性交时不是感到愉快而是感到不适甚至疼痛。性交疼痛现象，有的发生在婚后不久，有的很久才发生，也有的到妇女更年期才发现。疼痛的部位有时仅在外阴部，也有时在阴道内部，还有的影响到腹部、腰部、背部。性交痛痛可以在性交时发生，也可以在性交以后发生甚至一直持续到性交后几小时或几天。如果一旦发生了这种情况，而又未能及时纠正和治愈，不仅会影响到夫妻间的正常性生活，而且会影响到彼此的感情。","交媾困难，性感不快，性交困难","女性生殖","妇科","成年女性","紧张,焦虑,子宫内膜异位,瘙痒","产科B超,内分泌检查,盆腔和阴道B超,血清卵泡刺激素,血清鳞状上皮细胞癌抗原","性冷淡,尿道癌,人流后妇科病,女性尿道癌,宫颈糜烂","心理治疗、中医治疗、手术治疗","尼尔雌醇,替勃龙,吲哚美辛巴布膏,详细"
"外阴瘙痒","外阴瘙痒是外阴各种不同病变所引起的一种症状，但也可发生于外阴完全正常者，一般多见于中年妇女，当瘙痒加重时，患者多坐卧不安，以致影响生活和工作。","外阴瘙痒症,外阴瘙痒病","外阴","妇科","女性群体，大部分为绝经期前...","瘙痒,排尿时外阴灼热、瘙痒或疼痛,日轻夜重的瘙痒,瘙痒,剧痒","白带常规","尿路感染,真菌性尿路感染","药物治疗","肤痒颗粒,聚甲酚磺醛栓,消糜栓,详细"
"宫颈癌","宫颈癌是目前唯一一个病因明确的妇科恶性肿瘤，与高危型人乳头瘤病毒的持续感染相关。HPV病毒是一种双链DNA病毒，主要感染皮肤粘膜上皮，导致不同病变。其它高危因素有：1. 性行为：过早开始性生活，多个性伴侣；2. 月经及分娩因素：经期卫生不良，经期延长，早育，多产等；3 吸烟； 4. 长期服用口服避孕药等。其最早出现的症状主要有阴道出血和阴道排液，是全球妇女中仅次于乳腺癌和结直肠癌的第3个常见的恶性肿瘤。","子宫颈癌，五色带","子宫","肿瘤科,妇科","40～60岁女性 ，处于性活跃期...","脓血性白带,消瘦,乳头样增生变化,阴道持续流血不停,阴道转移","TCT检查,妇科的保健体检,子宫颈涂片测试,宫颈妇科常规检查,阴道活检","流产","放射治疗、手术治疗、化学治疗","平消胶囊,盐酸伊立替康,复方红豆杉胶囊,详细"
"卵巢囊肿","卵巢囊肿广义上属于卵巢肿瘤的一种，其病理形态多种多样，是最常见的妇科疾病。各个年龄均可患病，但以20~50岁最多见。根据其性质和形态不同可分为：单一型或混合型、一侧性或双侧性、囊性或实质性、良性或恶性，其中以囊性多见，恶性变的程度很高。","None","卵巢","妇科","20—50岁的女性","下腹坠胀,下腹部包块,下腹疼痛,腹水","妊娠试验,盆腔CT,腹腔镜,腹部平片","卵巢癌,肝硬化,腹膜炎,贫血,溶血性贫血","手术治疗","桂枝茯苓胶囊,止痛化癥胶囊,红金消结胶囊,详细"
"痛经","痛经(dysmenorrhea)，系指经期前后或行经期间，出现下腹部痉挛性疼痛，并有全身不适，严重影响日常生活者。分原发性和继发性两种。经过详细妇科临床检查未能发现盆腔器官有明显异常者，称原发性痛经，也称功能性痛经。继发性痛经则指生殖器官有明显病变者，如子宫内膜异位症、盆腔炎、肿瘤等。","经期疼痛","子宫","妇科,中医科","月经初潮后女性，未婚女青年...","下腹痛,下腹坠胀,恶心与呕吐,经期前乳房痛,经期小腹坠痛","子宫输卵管造影,白带常规,盆腔和阴道B超","不孕症","药物治疗","痛经宝颗粒,妇女痛经丸,复方对乙酰氨基酚片,详细"
"细菌性阴道炎","细菌性阴道病主要是由阴道加特纳菌引起的一种阴道炎，可通过性关系传播。细菌性阴道病是加特纳菌、厌氧菌等增多，而乳酸杆菌减少，阴道内生态平衡系统改变而引起的疾病。其中，健康妇女阴道中也有加特纳菌寄生。其他常见的阴道炎有：非特异性阴道炎、念珠菌性阴道炎、滴虫性阴道炎、霉菌性阴道炎、蛲虫性阴道炎、过敏性阴道炎、 结核性阴道炎、阴道嗜血杆菌性阴道炎 、阿米巴性阴道炎、老年性阴道炎、婴幼儿阴道炎。","阴道炎,细菌性阴道病,非特异性阴道炎","阴道","妇科,生殖健康"," 女性，成年女性 ","阴道分泌物增多,排尿时外阴灼热、瘙痒或疼痛,阴部灼热,白带增多","白带pH值,白带检查,胺试验,阴道分泌物涂片,阴道清洁度","滴虫性阴道炎,盆腔炎,早产,阴道炎,宫颈炎","药物治疗","保妇康栓,舒安卫生栓,结合雌激素乳膏,详细"
"滴虫性阴道炎","滴虫阴道炎(trichomona1vaginitis)是常见的阴道炎，由阴道毛滴虫所引起。滴虫呈梨形，后端尖，约为多核白细胞的2～3倍大小。虫体顶端有鞭毛4根，体部有波动膜，后端有轴柱凸出。活的滴虫透明无色，呈水滴状，诸鞭毛随波动膜的波动而摆动，滴虫的生活史简单，只有滋养体而无包囊期，滋养体生活力较强，能在3～5℃生存2日;在46℃时生存20～60分钟;在半干燥环境中约生存10小时;在普通肥皂水中也能生存45～120分钟。在Ph5以下或7.5以上的环境中则不生长，滴虫阴道炎患者的阴道PH值一般为5.1～5.4。隐藏在腺体及阴道皱襞中的滴虫于月经前后，常得以繁殖，引起炎症的发作。它能消耗或吞噬阴道上皮细胞内的糖原，阻碍乳酸生成。滴虫不仅寄生于阴道。还常侵入尿道或尿道旁腺，甚至膀胱、肾盂以及男性的包皮褶、尿道或前列腺中。其他常见的阴道炎有：非特异性阴道炎 、细菌性阴道炎、念珠菌性阴道炎、霉菌性阴道炎、蛲虫性阴道炎、过敏性阴道炎、 结核性阴道炎、阴道嗜血杆菌性阴道炎 、阿米巴性阴道炎、老年性阴道炎、婴幼儿阴道炎。","阴道毛滴虫病，滴虫病","阴道","妇科","成年女性 ","白带增多,阴道脓性分泌物,外阴烧灼刺激感,阴部灼热","寄生虫排泄物和分泌物检查,改良加藤法,白带检查,肛门拭子检查法,阴道毛滴虫检查","不孕症,阴道炎,细菌性阴道炎","药物治疗","保妇康栓,消糜阴道泡腾片,结合雌激素乳膏,详细"
"乳腺增生","乳腺增生是女性最常见的乳房疾病，其发病率占乳腺疾病的首位。近些年来该病发病率呈逐年上升的趋势，年龄也越来越低龄化。乳腺增生症是正常乳腺小叶生理性增生与复旧不全，乳腺正常结构出现紊乱，属于病理性增生，它是既非炎症又非肿瘤的一类病。多发于30-50岁女性，发病高峰为35-40岁。","乳房囊性增生病,乳腺小叶增生，乳腺增生症,乳腺结构不良症,乳痛症","乳房","乳腺外科,妇科,内分泌科"," 30-50岁女性 ","乳腺隐痛,结节,囊肿,经期前乳房痛,腋窝痛","乳房检查,乳房触诊,乳腺检查,乳腺超声,外科检查","乳腺癌,月经不调","药物治疗、手术治疗","乳结泰胶囊,乳块消胶囊,详细"
"羊水过少","当羊水量<300ml时称为羊水过少(oligohydramnios)此为传统概念，但无论阴道分娩还是剖宫产很难准确估计羊水的总量。近些年，由于影像学的应用特别是产科B超技术的应用对羊水过少的诊断更趋精确，诊断标准统一已经逐渐被临床运用。B超诊断羊水过少的标准是羊水指数(AFI)<5cm或最大羊水池深度<2cm。既往羊水过少的发病率很低仅1∶4000。近些年由于对高危妊娠的产前监测和B超技术的提高和普及，羊水过少的发生率有增加的趋势羊水过少的发病率在部分报告中高达5%。","None","子宫","产科","孕晚期女性","子宫收缩不良,阵发性子宫收缩,宫缩乏力,皮肤干燥,纸样胎儿","产科B超,便常规,尿常规,羊水一般检查,肝功能","难产,产力异常性难产","终止妊娠、保守期待","孕妇金花片,甲磺酸溴隐亭片,气血和胶囊,详细"
"羊水过多","正常妊娠时的羊水量随孕周增加而增多 ，最后2～4周开始逐渐减少，妊娠足月时羊水量约为1000ml(800～1200ml)，凡在妊娠任何时期内羊水量超过2000ml者，称为羊水过多。最高可达20000ml。多数孕妇羊水增多较慢，在较长时期内形成，称为慢性羊水过多;少数孕妇在数日内羊水急剧增加，称为急性羊水过多。羊水过多的发生率，文献报道为0.5%～1%，妊娠合并糖尿病者，其发生率可达20%。羊水过多时羊水的外观、性状与正常者并无异样。","羊水过多症","子宫","产科","妊娠20～24周或妊娠28～32周","子宫出血,子宫收缩不良,阵发性子宫收缩,怀孕时子宫异常增大,子宫收缩不良","AFP,产科B超,羊水检查,羊水甲胎蛋白测定（AFP）,羊水量","下肢静脉曲张",,"五苓散,黄芪颗粒,枸橼酸铋钾颗粒（非处方）,详细"
"妊娠高血压","妊高症，即妊娠高血压综合症，也是以往所说的妊娠中毒症、先兆子痫等，是孕妇特有的病症，多数发生在妊娠20周与产后两周，约占所有孕妇的5%。其中一部分还伴有蛋白尿或水肿出现，病情严重者会产生头痛、视力模糊、上腹痛等症状。若没有适当治疗，可能会引起全身性痉挛甚至昏迷。根据症状的不同程度，可分为轻、中、重度。","妊娠高血压综合征，妊娠合并原发性高血压,妊高征，妊娠高压","血液血管","产科,妇科","孕妇","血压高,蛋白尿,踝部凹陷性水肿,小腿水肿,先兆子痫","尿蛋白定量,心电图,眼底检查,血压测量,血液黏度","弥散性血管内凝血,脑血栓,蛛网膜下腔出血,肾衰,胎盘早剥","药物治疗","右旋糖酐40葡萄糖注射液,右旋糖酐40氯化钠注射液,芪苈强心胶囊,详细"
